strain	date	region	country	division
nyomi001	2021-11-25	North America	USA	NY
nyomi002	2021-11-26	North America	USA	NY
njomi001	2021-11-29	North America	USA	NJ
nyomi003	2021-11-29	North America	USA	NY
nyomi004	2021-11-29	North America	USA	NY
nyomi005	2021-11-29	North America	USA	NY
nyomi006	2021-11-29	North America	USA	NY
nyomi007	2021-11-30	North America	USA	NY
nyomi008	2021-11-30	North America	USA	NY
nyomi009	2021-11-30	North America	USA	NY
nyomi010	2021-12-01	North America	USA	NY
njomi002	2021-12-01	North America	USA	NJ
njomi003	2021-12-01	North America	USA	NJ
nyomi011	2021-12-01	North America	USA	NY
nyomi012	2021-12-01	North America	USA	NY
nyomi013	2021-12-01	North America	USA	NY
nyomi014	2021-12-01	North America	USA	NY
nyomi015	2021-12-01	North America	USA	NY
nyomi016	2021-12-01	North America	USA	NY
nyomi017	2021-12-01	North America	USA	NY
nyomi018	2021-12-01	North America	USA	NY
nyomi019	2021-12-02	North America	USA	NY
nyomi020	2021-12-02	North America	USA	NY
nyomi021	2021-12-02	North America	USA	NY
riomi001	2021-12-02	North America	USA	RI
nyomi022	2021-12-02	North America	USA	NY
nyomi023	2021-12-03	North America	USA	NY
nyomi024	2021-12-03	North America	USA	NY
nyomi025	2021-12-03	North America	USA	NY
nyomi026	2021-12-03	North America	USA	NY
nyomi027	2021-12-03	North America	USA	NY
nyomi028	2021-12-03	North America	USA	NY
nyomi029	2021-12-03	North America	USA	NY
nyomi030	2021-12-05	North America	USA	NY
nyomi031	2021-12-06	North America	USA	NY
nyomi032	2021-12-06	North America	USA	NY
nyomi033	2021-12-06	North America	USA	NY
nyomi034	2021-12-06	North America	USA	NY
nyomi035	2021-12-06	North America	USA	NY
njomi004	2021-12-07	North America	USA	NJ
nyomi036	2021-12-07	North America	USA	NY
nyomi037	2021-12-07	North America	USA	NY
nyomi038	2021-12-07	North America	USA	NY
nyomi039	2021-12-07	North America	USA	NY
nyomi040	2021-12-07	North America	USA	NY
nyomi041	2021-12-07	North America	USA	NY
nyomi042	2021-12-07	North America	USA	NY
nyomi043	2021-12-07	North America	USA	NY
nyomi044	2021-12-07	North America	USA	NY
njomi005	2021-12-07	North America	USA	NJ
nyomi045	2021-12-07	North America	USA	NY
nyomi046	2021-12-07	North America	USA	NY
nyomi047	2021-12-07	North America	USA	NY
nyomi048	2021-12-07	North America	USA	NY
nyomi049	2021-12-07	North America	USA	NY
nyomi050	2021-12-07	North America	USA	NY
nyomi051	2021-12-07	North America	USA	NY
nyomi052	2021-12-07	North America	USA	NY
nyomi053	2021-12-07	North America	USA	NY
nyomi054	2021-12-07	North America	USA	NY
nyomi055	2021-12-07	North America	USA	NY
nyomi056	2021-12-07	North America	USA	NY
nyomi057	2021-12-07	North America	USA	NY
nyomi058	2021-12-07	North America	USA	NY
nyomi059	2021-12-07	North America	USA	NY
nyomi060	2021-12-07	North America	USA	NY
nyomi061	2021-12-07	North America	USA	NY
nyomi062	2021-12-07	North America	USA	NY
nyomi063	2021-12-07	North America	USA	NY
nyomi064	2021-12-07	North America	USA	NY
nyomi065	2021-12-07	North America	USA	NY
nyomi066	2021-12-07	North America	USA	NY
nyomi067	2021-12-07	North America	USA	NY
nyomi068	2021-12-07	North America	USA	NY
nyomi069	2021-12-07	North America	USA	NY
nyomi070	2021-12-07	North America	USA	NY
nyomi071	2021-12-07	North America	USA	NY
nyomi072	2021-12-07	North America	USA	NY
nyomi073	2021-12-07	North America	USA	NY
nyomi074	2021-12-07	North America	USA	NY
nyomi075	2021-12-07	North America	USA	NY
nyomi076	2021-12-07	North America	USA	NY
nyomi077	2021-12-07	North America	USA	NY
nyomi078	2021-12-07	North America	USA	NY
nyomi079	2021-12-07	North America	USA	NY
nyomi080	2021-12-07	North America	USA	NY
nyomi081	2021-12-07	North America	USA	NY
nyomi082	2021-12-07	North America	USA	NY
nyomi083	2021-12-07	North America	USA	NY
nyomi084	2021-12-07	North America	USA	NY
nyomi085	2021-12-07	North America	USA	NY
nyomi086	2021-12-07	North America	USA	NY
nyomi087	2021-12-07	North America	USA	NY
nyomi088	2021-12-08	North America	USA	NY
nyomi089	2021-12-08	North America	USA	NY
njomi006	2021-12-08	North America	USA	NJ
nyomi090	2021-12-08	North America	USA	NY
nyomi091	2021-12-08	North America	USA	NY
ncomi001	2021-12-08	North America	USA	NC
nyomi092	2021-12-08	North America	USA	NY
nyomi093	2021-12-08	North America	USA	NY
nyomi094	2021-12-08	North America	USA	NY
nyomi095	2021-12-08	North America	USA	NY
nyomi096	2021-12-08	North America	USA	NY
nyomi097	2021-12-08	North America	USA	NY
nyomi098	2021-12-08	North America	USA	NY
nyomi099	2021-12-08	North America	USA	NY
nyomi100	2021-12-08	North America	USA	NY
nyomi101	2021-12-08	North America	USA	NY
nyomi102	2021-12-08	North America	USA	NY
nyomi103	2021-12-08	North America	USA	NY
nyomi104	2021-12-08	North America	USA	NY
nyomi105	2021-12-08	North America	USA	NY
nyomi106	2021-12-08	North America	USA	NY
nyomi107	2021-12-08	North America	USA	NY
nyomi108	2021-12-08	North America	USA	NY
nyomi109	2021-12-08	North America	USA	NY
nyomi110	2021-12-08	North America	USA	NY
nyomi111	2021-12-08	North America	USA	NY
nyomi112	2021-12-08	North America	USA	NY
nyomi113	2021-12-08	North America	USA	NY
nyomi114	2021-12-08	North America	USA	NY
nyomi115	2021-12-08	North America	USA	NY
nyomi116	2021-12-08	North America	USA	NY
nyomi117	2021-12-08	North America	USA	NY
nyomi118	2021-12-08	North America	USA	NY
nyomi119	2021-12-08	North America	USA	NY
nyomi120	2021-12-08	North America	USA	NY
nyomi121	2021-12-08	North America	USA	NY
nyomi122	2021-12-08	North America	USA	NY
nyomi123	2021-12-08	North America	USA	NY
nyomi124	2021-12-08	North America	USA	NY
njomi007	2021-12-08	North America	USA	NJ
nyomi125	2021-12-08	North America	USA	NY
nyomi126	2021-12-08	North America	USA	NY
nyomi127	2021-12-08	North America	USA	NY
nyomi128	2021-12-08	North America	USA	NY
nyomi129	2021-12-08	North America	USA	NY
nyomi130	2021-12-08	North America	USA	NY
nyomi131	2021-12-08	North America	USA	NY
nyomi132	2021-12-08	North America	USA	NY
nyomi133	2021-12-08	North America	USA	NY
utomi001	2021-12-08	North America	USA	UT
nyomi134	2021-12-08	North America	USA	NY
nyomi135	2021-12-08	North America	USA	NY
njomi008	2021-12-08	North America	USA	NJ
njomi009	2021-12-08	North America	USA	NJ
njomi010	2021-12-08	North America	USA	NJ
ncomi002	2021-12-08	North America	USA	NC
nyomi136	2021-12-08	North America	USA	NY
nyomi137	2021-12-08	North America	USA	NY
nyomi138	2021-12-08	North America	USA	NY
nyomi139	2021-12-08	North America	USA	NY
nyomi140	2021-12-08	North America	USA	NY
nyomi141	2021-12-08	North America	USA	NY
nyomi142	2021-12-08	North America	USA	NY
nyomi143	2021-12-08	North America	USA	NY
nyomi144	2021-12-08	North America	USA	NY
nyomi145	2021-12-08	North America	USA	NY
nyomi146	2021-12-08	North America	USA	NY
nyomi147	2021-12-08	North America	USA	NY
nyomi148	2021-12-08	North America	USA	NY
nyomi149	2021-12-08	North America	USA	NY
nyomi150	2021-12-08	North America	USA	NY
nyomi151	2021-12-08	North America	USA	NY
nyomi152	2021-12-08	North America	USA	NY
nyomi153	2021-12-08	North America	USA	NY
nyomi154	2021-12-08	North America	USA	NY
nyomi155	2021-12-08	North America	USA	NY
nyomi156	2021-12-08	North America	USA	NY
nyomi157	2021-12-08	North America	USA	NY
nyomi158	2021-12-08	North America	USA	NY
nyomi159	2021-12-08	North America	USA	NY
nyomi160	2021-12-08	North America	USA	NY
nyomi161	2021-12-08	North America	USA	NY
nyomi162	2021-12-08	North America	USA	NY
nyomi163	2021-12-08	North America	USA	NY
nyomi164	2021-12-08	North America	USA	NY
nyomi165	2021-12-08	North America	USA	NY
nyomi166	2021-12-08	North America	USA	NY
nyomi167	2021-12-08	North America	USA	NY
nyomi168	2021-12-08	North America	USA	NY
nyomi169	2021-12-08	North America	USA	NY
nyomi170	2021-12-08	North America	USA	NY
nyomi171	2021-12-08	North America	USA	NY
nyomi172	2021-12-08	North America	USA	NY
oromi001	2021-12-08	North America	USA	OR
nyomi173	2021-12-08	North America	USA	NY
nyomi174	2021-12-08	North America	USA	NY
nyomi175	2021-12-08	North America	USA	NY
nyomi176	2021-12-08	North America	USA	NY
nyomi177	2021-12-08	North America	USA	NY
flomi001	2021-12-08	North America	USA	FL
nyomi178	2021-12-08	North America	USA	NY
nyomi179	2021-12-08	North America	USA	NY
nyomi180	2021-12-08	North America	USA	NY
nyomi181	2021-12-08	North America	USA	NY
nyomi182	2021-12-08	North America	USA	NY
nyomi183	2021-12-08	North America	USA	NY
nyomi184	2021-12-08	North America	USA	NY
nyomi185	2021-12-08	North America	USA	NY
nyomi186	2021-12-08	North America	USA	NY
nyomi187	2021-12-08	North America	USA	NY
nyomi188	2021-12-08	North America	USA	NY
nyomi189	2021-12-08	North America	USA	NY
nyomi190	2021-12-08	North America	USA	NY
nyomi191	2021-12-08	North America	USA	NY
nyomi192	2021-12-08	North America	USA	NY
mdomi001	2021-12-08	North America	USA	MD
nyomi193	2021-12-08	North America	USA	NY
txomi001	2021-12-08	North America	USA	TX
nyomi194	2021-12-08	North America	USA	NY
nyomi195	2021-12-08	North America	USA	NY
nyomi196	2021-12-09	North America	USA	NY
nyomi197	2021-12-09	North America	USA	NY
nyomi198	2021-12-09	North America	USA	NY
nyomi199	2021-12-09	North America	USA	NY
nyomi200	2021-12-09	North America	USA	NY
nyomi201	2021-12-09	North America	USA	NY
nyomi202	2021-12-09	North America	USA	NY
nyomi203	2021-12-09	North America	USA	NY
nyomi204	2021-12-09	North America	USA	NY
nyomi205	2021-12-09	North America	USA	NY
nyomi206	2021-12-09	North America	USA	NY
nyomi207	2021-12-09	North America	USA	NY
nyomi208	2021-12-09	North America	USA	NY
nyomi209	2021-12-09	North America	USA	NY
nyomi210	2021-12-09	North America	USA	NY
nyomi211	2021-12-09	North America	USA	NY
nyomi212	2021-12-09	North America	USA	NY
nyomi213	2021-12-09	North America	USA	NY
nyomi214	2021-12-09	North America	USA	NY
nyomi215	2021-12-09	North America	USA	NY
nyomi216	2021-12-09	North America	USA	NY
gaomi001	2021-12-09	North America	USA	GA
nyomi217	2021-12-09	North America	USA	NY
nyomi218	2021-12-09	North America	USA	NY
nyomi219	2021-12-09	North America	USA	NY
nyomi220	2021-12-09	North America	USA	NY
nyomi221	2021-12-09	North America	USA	NY
nyomi222	2021-12-09	North America	USA	NY
nyomi223	2021-12-09	North America	USA	NY
caomi001	2021-12-09	North America	USA	CA
nyomi224	2021-12-09	North America	USA	NY
nyomi225	2021-12-09	North America	USA	NY
nyomi226	2021-12-09	North America	USA	NY
nyomi227	2021-12-09	North America	USA	NY
nyomi228	2021-12-09	North America	USA	NY
nyomi229	2021-12-09	North America	USA	NY
nyomi230	2021-12-09	North America	USA	NY
nyomi231	2021-12-09	North America	USA	NY
nyomi232	2021-12-09	North America	USA	NY
nyomi233	2021-12-09	North America	USA	NY
nyomi234	2021-12-09	North America	USA	NY
nyomi235	2021-12-09	North America	USA	NY
nyomi236	2021-12-09	North America	USA	NY
nyomi237	2021-12-09	North America	USA	NY
nyomi238	2021-12-09	North America	USA	NY
nyomi239	2021-12-09	North America	USA	NY
nyomi240	2021-12-09	North America	USA	NY
nyomi241	2021-12-09	North America	USA	NY
nyomi242	2021-12-09	North America	USA	NY
nyomi243	2021-12-09	North America	USA	NY
nyomi244	2021-12-09	North America	USA	NY
nyomi245	2021-12-09	North America	USA	NY
njomi011	2021-12-09	North America	USA	NJ
nyomi246	2021-12-09	North America	USA	NY
nyomi247	2021-12-09	North America	USA	NY
nyomi248	2021-12-09	North America	USA	NY
nyomi249	2021-12-09	North America	USA	NY
njomi012	2021-12-09	North America	USA	NJ
nyomi250	2021-12-09	North America	USA	NY
nyomi251	2021-12-09	North America	USA	NY
nyomi252	2021-12-09	North America	USA	NY
njomi013	2021-12-09	North America	USA	NJ
nyomi253	2021-12-09	North America	USA	NY
nyomi254	2021-12-09	North America	USA	NY
nyomi255	2021-12-09	North America	USA	NY
nyomi256	2021-12-09	North America	USA	NY
nyomi257	2021-12-09	North America	USA	NY
njomi014	2021-12-09	North America	USA	NJ
nyomi258	2021-12-09	North America	USA	NY
nyomi259	2021-12-09	North America	USA	NY
nyomi260	2021-12-09	North America	USA	NY
nyomi261	2021-12-09	North America	USA	NY
nyomi262	2021-12-09	North America	USA	NY
nyomi263	2021-12-09	North America	USA	NY
nyomi264	2021-12-09	North America	USA	NY
nyomi265	2021-12-09	North America	USA	NY
nyomi266	2021-12-09	North America	USA	NY
nyomi267	2021-12-09	North America	USA	NY
nyomi268	2021-12-09	North America	USA	NY
nyomi269	2021-12-09	North America	USA	NY
nyomi270	2021-12-09	North America	USA	NY
nyomi271	2021-12-09	North America	USA	NY
nyomi272	2021-12-09	North America	USA	NY
nyomi273	2021-12-09	North America	USA	NY
nyomi274	2021-12-09	North America	USA	NY
nyomi275	2021-12-09	North America	USA	NY
nyomi276	2021-12-09	North America	USA	NY
nyomi277	2021-12-09	North America	USA	NY
nyomi278	2021-12-09	North America	USA	NY
flomi002	2021-12-09	North America	USA	FL
nyomi279	2021-12-09	North America	USA	NY
nyomi280	2021-12-09	North America	USA	NY
nyomi281	2021-12-09	North America	USA	NY
nyomi282	2021-12-09	North America	USA	NY
njomi015	2021-12-09	North America	USA	NJ
nyomi283	2021-12-09	North America	USA	NY
nyomi284	2021-12-09	North America	USA	NY
nyomi285	2021-12-09	North America	USA	NY
nyomi286	2021-12-09	North America	USA	NY
nyomi287	2021-12-09	North America	USA	NY
nyomi288	2021-12-09	North America	USA	NY
nyomi289	2021-12-09	North America	USA	NY
nyomi290	2021-12-09	North America	USA	NY
nyomi291	2021-12-09	North America	USA	NY
nyomi292	2021-12-09	North America	USA	NY
nyomi293	2021-12-09	North America	USA	NY
nyomi294	2021-12-09	North America	USA	NY
nyomi295	2021-12-09	North America	USA	NY
nyomi296	2021-12-09	North America	USA	NY
nyomi297	2021-12-09	North America	USA	NY
nyomi298	2021-12-09	North America	USA	NY
nyomi299	2021-12-09	North America	USA	NY
nyomi300	2021-12-09	North America	USA	NY
nyomi301	2021-12-09	North America	USA	NY
nyomi302	2021-12-09	North America	USA	NY
nyomi303	2021-12-09	North America	USA	NY
nyomi304	2021-12-09	North America	USA	NY
nyomi305	2021-12-09	North America	USA	NY
nyomi306	2021-12-09	North America	USA	NY
nyomi307	2021-12-09	North America	USA	NY
nyomi308	2021-12-09	North America	USA	NY
nyomi309	2021-12-09	North America	USA	NY
nyomi310	2021-12-09	North America	USA	NY
nyomi311	2021-12-09	North America	USA	NY
nyomi312	2021-12-09	North America	USA	NY
nyomi313	2021-12-09	North America	USA	NY
nyomi314	2021-12-09	North America	USA	NY
nyomi315	2021-12-09	North America	USA	NY
nyomi316	2021-12-09	North America	USA	NY
nyomi317	2021-12-10	North America	USA	NY
nyomi318	2021-12-10	North America	USA	NY
nyomi319	2021-12-10	North America	USA	NY
nyomi320	2021-12-10	North America	USA	NY
nyomi321	2021-12-10	North America	USA	NY
nyomi322	2021-12-10	North America	USA	NY
nyomi323	2021-12-10	North America	USA	NY
nyomi324	2021-12-10	North America	USA	NY
nyomi325	2021-12-10	North America	USA	NY
nyomi326	2021-12-10	North America	USA	NY
nyomi327	2021-12-10	North America	USA	NY
nyomi328	2021-12-10	North America	USA	NY
nyomi329	2021-12-10	North America	USA	NY
nyomi330	2021-12-10	North America	USA	NY
nyomi331	2021-12-10	North America	USA	NY
nyomi332	2021-12-10	North America	USA	NY
nyomi333	2021-12-10	North America	USA	NY
nyomi334	2021-12-10	North America	USA	NY
nyomi335	2021-12-10	North America	USA	NY
meomi001	2021-12-10	North America	USA	ME
nyomi336	2021-12-10	North America	USA	NY
nyomi337	2021-12-10	North America	USA	NY
nyomi338	2021-12-10	North America	USA	NY
nyomi339	2021-12-10	North America	USA	NY
nyomi340	2021-12-10	North America	USA	NY
nyomi341	2021-12-10	North America	USA	NY
nyomi342	2021-12-10	North America	USA	NY
caomi002	2021-12-10	North America	USA	CA
nyomi343	2021-12-10	North America	USA	NY
nyomi344	2021-12-10	North America	USA	NY
nyomi345	2021-12-10	North America	USA	NY
nyomi346	2021-12-10	North America	USA	NY
nyomi347	2021-12-10	North America	USA	NY
nyomi348	2021-12-10	North America	USA	NY
nyomi349	2021-12-10	North America	USA	NY
nyomi350	2021-12-10	North America	USA	NY
nyomi351	2021-12-10	North America	USA	NY
nyomi352	2021-12-10	North America	USA	NY
nyomi353	2021-12-10	North America	USA	NY
nyomi354	2021-12-10	North America	USA	NY
nyomi355	2021-12-10	North America	USA	NY
nyomi356	2021-12-10	North America	USA	NY
nyomi357	2021-12-10	North America	USA	NY
nyomi358	2021-12-10	North America	USA	NY
nyomi359	2021-12-10	North America	USA	NY
nyomi360	2021-12-10	North America	USA	NY
nyomi361	2021-12-10	North America	USA	NY
nyomi362	2021-12-10	North America	USA	NY
nyomi363	2021-12-10	North America	USA	NY
nyomi364	2021-12-11	North America	USA	NY
